Date,Forward,Contract,Route,Price
1/11/2024,M2,M_Mar_2024,BPI5TC,12850
1/11/2024,M3,M_Apr_2024,BPI5TC,13450
1/11/2024,Q0,Q_1_2024,BPI5TC,11841.5
1/11/2024,Q1,Q_2_2024,BPI5TC,13750
1/11/2024,Q2,Q_3_2024,BPI5TC,13325
1/11/2024,Q3,Q_4_2024,BPI5TC,13050
1/11/2024,Y0,Y_2024,BPI5TC,12950
1/11/2024,Y1,Y_2025,BPI5TC,12000
1/11/2024,Y2,Y_2026,BPI5TC,11793
1/11/2024,Y3,Y_2027,BPI5TC,11779
1/12/2024,M0,M_Jan_2024,BPI5TC,12075
1/12/2024,M1,M_Feb_2024,BPI5TC,11450
1/12/2024,M2,M_Mar_2024,BPI5TC,13250
1/12/2024,M3,M_Apr_2024,BPI5TC,13600
1/12/2024,Q0,Q_1_2024,BPI5TC,12225
1/12/2024,Q1,Q_2_2024,BPI5TC,14100
1/12/2024,Q2,Q_3_2024,BPI5TC,13650
1/12/2024,Q3,Q_4_2024,BPI5TC,13229
1/12/2024,Y0,Y_2024,BPI5TC,13300
1/12/2024,Y1,Y_2025,BPI5TC,12075
1/12/2024,Y2,Y_2026,BPI5TC,11850
1/12/2024,Y3,Y_2027,BPI5TC,11793
1/15/2024,M0,M_Jan_2024,BPI5TC,11900
1/15/2024,M1,M_Feb_2024,BPI5TC,11600
1/15/2024,M2,M_Mar_2024,BPI5TC,13750
1/15/2024,M3,M_Apr_2024,BPI5TC,13525
1/15/2024,Q0,Q_1_2024,BPI5TC,14175
1/15/2024,Q1,Q_2_2024,BPI5TC,14325
1/15/2024,Q2,Q_3_2024,BPI5TC,13575
1/15/2024,Q3,Q_4_2024,BPI5TC,13279
1/15/2024,Y0,Y_2024,BPI5TC,13375
1/15/2024,Y1,Y_2025,BPI5TC,12100
1/15/2024,Y2,Y_2026,BPI5TC,11839
1/15/2024,Y3,Y_2027,BPI5TC,11771
1/16/2024,M0,M_Jan_2024,BPI5TC,12325
1/16/2024,M1,M_Feb_2024,BPI5TC,12375
1/16/2024,M2,M_Mar_2024,BPI5TC,14275
1/16/2024,M3,M_Apr_2024,BPI5TC,14500
1/16/2024,Q0,Q_1_2024,BPI5TC,13000
1/16/2024,Q1,Q_2_2024,BPI5TC,14700
1/16/2024,Q2,Q_3_2024,BPI5TC,13925
1/16/2024,Q3,Q_4_2024,BPI5TC,13518
1/16/2024,Y0,Y_2024,BPI5TC,13775
1/16/2024,Y1,Y_2025,BPI5TC,12300
1/16/2024,Y2,Y_2026,BPI5TC,11875
1/16/2024,Y3,Y_2027,BPI5TC,11757
1/17/2024,M0,M_Jan_2024,BPI5TC,12550
1/17/2024,M1,M_Feb_2024,BPI5TC,12625
1/17/2024,M2,M_Mar_2024,BPI5TC,14600
1/17/2024,M3,M_Apr_2024,BPI5TC,15000
1/17/2024,Q0,Q_1_2024,BPI5TC,13262.5
1/17/2024,Q1,Q_2_2024,BPI5TC,14950
1/17/2024,Q2,Q_3_2024,BPI5TC,14175
1/17/2024,Q3,Q_4_2024,BPI5TC,13682
1/17/2024,Y0,Y_2024,BPI5TC,13975
1/17/2024,Y1,Y_2025,BPI5TC,12375
1/17/2024,Y2,Y_2026,BPI5TC,11893
1/17/2024,Y3,Y_2027,BPI5TC,11789
1/18/2024,M0,M_Jan_2024,BPI5TC,12975
1/18/2024,M1,M_Feb_2024,BPI5TC,13575
1/18/2024,M2,M_Mar_2024,BPI5TC,15300
1/18/2024,M3,M_Apr_2024,BPI5TC,15625
1/18/2024,Q0,Q_1_2024,BPI5TC,13950
1/18/2024,Q1,Q_2_2024,BPI5TC,15600
1/18/2024,Q2,Q_3_2024,BPI5TC,14575
1/18/2024,Q3,Q_4_2024,BPI5TC,14182
1/18/2024,Y0,Y_2024,BPI5TC,14500
1/18/2024,Y1,Y_2025,BPI5TC,12625
1/18/2024,Y2,Y_2026,BPI5TC,12021
1/18/2024,Y3,Y_2027,BPI5TC,11904
1/19/2024,M0,M_Jan_2024,BPI5TC,13100
1/19/2024,M1,M_Feb_2024,BPI5TC,13625
1/19/2024,M2,M_Mar_2024,BPI5TC,15550
